epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1022.65,0.82378,0.7937,1.03019,0.75931,0.6081,0.72929,0.60899,0.78114,2.24859,0.95449,0.000848969,0.000848969,0.000848969
43,1045.75,0.80548,0.80966,1.03115,0.62586,0.92857,0.945,0.77472,0.63938,1.30843,0.89956,0.000834822,0.000834822,0.000834822
44,1073.89,0.82067,0.81001,1.03538,0.4405,0.71429,0.76859,0.63146,0.7921,2.06806,0.98157,0.000820675,0.000820675,0.000820675
45,1099.22,0.80124,0.79508,1.03385,0.63162,0.92857,0.82026,0.69911,0.63293,1.52895,0.91068,0.000806528,0.000806528,0.000806528
46,1125.96,0.77795,0.78338,1.02904,0.68817,0.7831,0.85222,0.74864,0.59397,1.72753,0.89187,0.00079238,0.00079238,0.00079238
47,1146.17,0.79749,0.78499,1.03242,0.65458,0.83918,0.75469,0.63374,0.70412,2.16626,0.91862,0.000778233,0.000778233,0.000778233
48,1167.33,0.80597,0.78505,1.02798,0.62156,0.89712,0.76936,0.66885,0.58053,1.58683,0.88024,0.000764086,0.000764086,0.000764086
49,1186.87,0.80189,0.76068,1.02134,0.63661,0.85714,0.76938,0.6431,0.63602,1.88574,0.9036,0.000749939,0.000749939,0.000749939
50,1210.47,0.76949,0.76817,1.01771,0.70387,0.64286,0.72069,0.62948,0.60129,1.90121,0.87344,0.000735792,0.000735792,0.000735792
51,1233.23,0.77556,0.78015,1.0216,0.64363,0.92857,0.89983,0.77602,0.59288,1.47864,0.88587,0.000721645,0.000721645,0.000721645
52,1254.19,0.75826,0.77512,1.01989,0.5884,0.78571,0.76583,0.65082,0.6981,2.05792,0.92047,0.000707498,0.000707498,0.000707498
53,1274.14,0.78252,0.73588,1.0237,0.6395,0.91453,0.8638,0.78014,0.48807,1.7083,0.85666,0.000693351,0.000693351,0.000693351
54,1294.81,0.79621,0.73997,1.02838,0.48368,0.78571,0.69161,0.60556,0.62171,2.03991,0.92972,0.000679204,0.000679204,0.000679204
55,1314.68,0.75512,0.75247,1.0195,0.67442,0.80398,0.88167,0.79115,0.58516,1.72859,0.89478,0.000665057,0.000665057,0.000665057
56,1334.3,0.7765,0.76186,1.02671,0.65124,0.83333,0.81733,0.74223,0.55555,1.73823,0.89259,0.000650909,0.000650909,0.000650909
57,1356.5,0.77026,0.75377,1.01845,0.58057,0.85714,0.79711,0.69652,0.5835,1.93823,0.88729,0.000636762,0.000636762,0.000636762
58,1377.91,0.79405,0.75643,1.03146,0.70221,0.85714,0.94767,0.83947,0.57335,1.38469,0.88931,0.000622615,0.000622615,0.000622615
59,1400.01,0.76768,0.76278,1.02271,0.65901,0.78367,0.68938,0.59448,0.61251,1.81559,0.89622,0.000608468,0.000608468,0.000608468
60,1423.39,0.76787,0.75173,1.01006,0.69146,0.82317,0.80329,0.65157,0.638,1.81085,0.90779,0.000594321,0.000594321,0.000594321
61,1446.48,0.75489,0.74585,1.0188,0.65018,0.89853,0.77539,0.6386,0.66894,1.61073,0.91551,0.000580174,0.000580174,0.000580174
62,1468.83,0.76136,0.73768,1.01237,0.60161,0.87474,0.77579,0.66936,0.62017,1.81148,0.89323,0.000566027,0.000566027,0.000566027
63,1491.33,0.75508,0.72277,1.01538,0.63161,0.78571,0.77506,0.68793,0.57901,2.17813,0.88551,0.00055188,0.00055188,0.00055188
64,1512.69,0.74422,0.72041,1.02199,0.68113,0.85714,0.79777,0.68684,0.65106,1.71315,0.89439,0.000537733,0.000537733,0.000537733
65,1534.1,0.74795,0.70553,1.0082,0.68812,0.83079,0.77583,0.65127,0.62312,1.90294,0.89646,0.000523586,0.000523586,0.000523586
66,1556.57,0.75904,0.71469,1.00343,0.68643,0.92857,0.95767,0.86941,0.58824,1.51642,0.87413,0.000509438,0.000509438,0.000509438
67,1581.81,0.73215,0.70867,1.01521,0.63382,0.92857,0.77539,0.69816,0.56592,1.6741,0.8875,0.000495291,0.000495291,0.000495291
68,1603.78,0.75716,0.7007,1.01713,0.70075,0.92857,0.87132,0.75802,0.65148,1.63256,0.90237,0.000481144,0.000481144,0.000481144
69,1625.83,0.73891,0.7183,1.01058,0.70133,0.78571,0.86753,0.75266,0.59574,1.45177,0.90611,0.000466997,0.000466997,0.000466997
70,1647.29,0.72113,0.70013,1.00867,0.48607,0.84541,0.75238,0.66598,0.57539,1.78057,0.89335,0.00045285,0.00045285,0.00045285
71,1668.99,0.75664,0.71772,1.01771,0.64991,0.92857,0.789,0.70001,0.54383,1.44642,0.87171,0.000438703,0.000438703,0.000438703
72,1691.78,0.73487,0.69149,1.00003,0.654,0.77002,0.65886,0.56801,0.53252,1.97879,0.87625,0.000424556,0.000424556,0.000424556
73,1713.65,0.73541,0.69989,1.00971,0.71701,0.9209,0.93275,0.82628,0.59542,1.29204,0.88867,0.000410409,0.000410409,0.000410409
74,1735.93,0.76296,0.70877,1.01199,0.52195,0.77996,0.75429,0.64544,0.62671,1.88104,0.90306,0.000396262,0.000396262,0.000396262
75,1757.75,0.73063,0.68075,1.01026,0.50633,0.88551,0.81208,0.74135,0.60971,1.72055,0.89163,0.000382115,0.000382115,0.000382115
76,1779.71,0.71755,0.67326,1.0011,0.68274,0.87521,0.89167,0.77843,0.58471,1.45085,0.88596,0.000367967,0.000367967,0.000367967
77,1804.13,0.74067,0.67721,1.02136,0.67065,0.89621,0.84483,0.76434,0.54384,1.51096,0.89251,0.00035382,0.00035382,0.00035382
78,1825.44,0.7209,0.70141,1.00735,0.58894,0.86387,0.86962,0.76739,0.58223,1.59252,0.88541,0.000339673,0.000339673,0.000339673
79,1847.85,0.69954,0.65989,1.00547,0.63475,0.91311,0.7208,0.63902,0.57393,1.67402,0.90467,0.000325526,0.000325526,0.000325526
80,1869.25,0.70408,0.70126,1.00127,0.6516,0.92857,0.84855,0.75544,0.54442,1.66197,0.87693,0.000311379,0.000311379,0.000311379
81,1890.27,0.70597,0.67291,1.00266,0.61149,0.92122,0.87366,0.79615,0.52899,1.40565,0.88288,0.000297232,0.000297232,0.000297232
82,1911.29,0.69789,0.67083,1.00274,0.59366,0.85391,0.874,0.7971,0.5504,1.39673,0.88859,0.000283085,0.000283085,0.000283085
83,1932.42,0.70497,0.65493,1.00868,0.56789,0.87722,0.85711,0.78378,0.54973,1.61926,0.88505,0.000268938,0.000268938,0.000268938
84,1954.54,0.71472,0.68614,0.99989,0.68139,0.77307,0.85222,0.75406,0.57298,1.68638,0.89659,0.000254791,0.000254791,0.000254791
85,1975.81,0.68554,0.66302,1.0017,0.62767,0.92857,0.789,0.71363,0.59597,1.66632,0.89038,0.000240644,0.000240644,0.000240644
86,1996.79,0.7115,0.64466,1.00109,0.67533,0.92153,0.84169,0.75756,0.54726,1.61374,0.87084,0.000226497,0.000226497,0.000226497
87,2017.73,0.70054,0.65038,1.00577,0.67165,0.76449,0.80062,0.73073,0.55408,1.83203,0.86921,0.000212349,0.000212349,0.000212349
88,2039.75,0.6918,0.66517,0.99852,0.69145,0.70184,0.72044,0.64844,0.53868,1.74726,0.87636,0.000198202,0.000198202,0.000198202
89,2061.59,0.69923,0.65762,1.00257,0.61751,0.90756,0.83758,0.75913,0.4999,1.46589,0.86318,0.000184055,0.000184055,0.000184055
90,2082.6,0.67746,0.62391,0.99682,0.67242,0.84639,0.8638,0.8001,0.50026,1.60387,0.8681,0.000169908,0.000169908,0.000169908
91,2103.63,0.56487,0.64181,0.97911,0.61728,0.83347,0.86524,0.77776,0.48283,1.38484,0.86639,0.000155761,0.000155761,0.000155761
92,2124.3,0.53748,0.58994,0.95859,0.67545,0.90506,0.818,0.6777,0.49773,1.54321,0.86328,0.000141614,0.000141614,0.000141614
93,2146.65,0.55329,0.5613,0.97315,0.56879,0.92857,0.85431,0.73606,0.53442,1.64726,0.86381,0.000127467,0.000127467,0.000127467
94,2167.84,0.52095,0.54404,0.95327,0.65438,0.92857,0.8786,0.73258,0.53474,1.57266,0.86063,0.00011332,0.00011332,0.00011332
95,2188.56,0.52169,0.54553,0.94838,0.58638,0.85714,0.84617,0.74328,0.51225,1.50569,0.85838,9.91726e-05,9.91726e-05,9.91726e-05
96,2218.26,0.51164,0.54259,0.96178,0.67077,0.78571,0.84673,0.72927,0.4971,1.61984,0.85885,8.50255e-05,8.50255e-05,8.50255e-05
97,2244.84,0.50474,0.54746,0.94965,0.69852,0.76462,0.85942,0.77913,0.47956,1.59614,0.85751,7.08784e-05,7.08784e-05,7.08784e-05
98,2269.1,0.52354,0.52073,0.95363,0.58393,0.83021,0.83514,0.752,0.4958,1.66395,0.8584,5.67313e-05,5.67313e-05,5.67313e-05
99,2295.09,0.48828,0.50617,0.94243,0.63275,0.78571,0.83342,0.76338,0.49241,1.6441,0.8552,4.25842e-05,4.25842e-05,4.25842e-05
100,2334.03,0.51274,0.4966,0.94819,0.67543,0.8437,0.86942,0.75111,0.47434,1.63254,0.85403,2.84371e-05,2.84371e-05,2.84371e-05
