epoch;time;train/loss;metrics/accuracy_top1;metrics/accuracy_top5;val/loss;lr/pg0;lr/pg1;lr/pg2
77;1272.53;0.17007;0.86042;1;1.04684;0.000176786;0.000176786;0.000176786
78;1288.65;0.16754;0.85833;1;1.05093;0.000169718;0.000169718;0.000169718
79;1305.9;0.16578;0.86042;1;1.05081;0.000162649;0.000162649;0.000162649
80;1322.05;0.1772;0.85625;1;1.05308;0.000155581;0.000155581;0.000155581
81;1338.13;0.14238;0.84792;1;1.05993;0.000148512;0.000148512;0.000148512
82;1355.1;0.14753;0.84375;1;1.0586;0.000141443;0.000141443;0.000141443
83;1371.9;0.16374;0.85208;1;1.05429;0.000134375;0.000134375;0.000134375
84;1388.42;0.13726;0.85;1;1.05911;0.000127306;0.000127306;0.000127306
85;1405.87;0.15163;0.86042;1;1.05388;0.000120238;0.000120238;0.000120238
86;1422.07;0.14498;0.85625;1;1.05085;0.000113169;0.000113169;0.000113169
87;1438.39;0.16198;0.85833;1;1.0475;0.0001061;0.0001061;0.0001061
88;1454.38;0.14973;0.86667;1;1.0435;9.90318e-05;9.90318e-05;9.90318e-05
89;1470.42;0.14277;0.85833;1;1.04772;9.19632e-05;9.19632e-05;9.19632e-05
90;1487.27;0.16722;0.85625;1;1.04972;8.48946e-05;8.48946e-05;8.48946e-05
91;1503.62;0.14243;0.86667;1;1.04398;7.7826e-05;7.7826e-05;7.7826e-05
92;1519.67;0.13504;0.85833;1;1.04423;7.07574e-05;7.07574e-05;7.07574e-05
93;1536.55;0.12483;0.86667;1;1.04475;6.36888e-05;6.36888e-05;6.36888e-05
94;1552.65;0.13477;0.86458;1;1.04772;5.66202e-05;5.66202e-05;5.66202e-05
95;1569.11;0.12392;0.85625;1;1.05005;4.95516e-05;4.95516e-05;4.95516e-05
96;1585.18;0.13553;0.85833;1;1.04825;4.2483e-05;4.2483e-05;4.2483e-05
97;1602.13;0.12934;0.85625;1;1.04889;3.54144e-05;3.54144e-05;3.54144e-05
98;1618.26;0.1359;0.85208;1;1.05118;2.83458e-05;2.83458e-05;2.83458e-05
99;1634.71;0.14329;0.86667;1;1.04622;2.12772e-05;2.12772e-05;2.12772e-05
100;1651.59;0.11672;0.85208;1;1.04869;1.42086e-05;1.42086e-05;1.42086e-05
