epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3093.02,0.67792,0.8727,1.00486,0.72114,0.7516,0.82506,0.69012,0.60227,0.84198,1.12588,0.000885523,0.000885523,0.000885523
43,3160.01,0.67345,0.8245,1.00559,0.67133,0.75926,0.71011,0.61942,0.50366,1.30838,1.057,0.000880023,0.000880023,0.000880023
44,3226.06,0.67495,0.85523,1.00755,0.81648,0.71679,0.8493,0.74858,0.48163,0.74693,1.04605,0.000874524,0.000874524,0.000874524
45,3304.83,0.67676,0.83463,1.01026,0.80205,0.8299,0.87624,0.7772,0.46278,0.69264,1.04175,0.000869024,0.000869024,0.000869024
46,3377.11,0.69012,0.85216,1.01751,0.71492,0.76829,0.8448,0.74464,0.49523,0.86919,1.05812,0.000863525,0.000863525,0.000863525
47,3449.13,0.66144,0.82488,1.01042,0.73537,0.7857,0.83018,0.72556,0.48212,0.74749,1.0449,0.000858025,0.000858025,0.000858025
48,3518.97,0.66105,0.80891,1.00429,0.7272,0.81363,0.78443,0.68853,0.48742,0.75491,1.0358,0.000852526,0.000852526,0.000852526
49,3591.1,0.68278,0.80762,1.01621,0.67535,0.79162,0.73903,0.63747,0.54585,1.07797,1.07761,0.000847026,0.000847026,0.000847026
50,3669.5,0.65129,0.81778,0.99667,0.65824,0.77927,0.69243,0.61329,0.48356,4.59494,1.06052,0.000841527,0.000841527,0.000841527
51,3744.14,0.65794,0.83263,1.00405,0.64122,0.73139,0.69924,0.59837,0.56642,1.51703,1.08279,0.000836027,0.000836027,0.000836027
52,3814.68,0.64828,0.80076,1.00753,0.68715,0.77061,0.82779,0.70793,0.55255,0.83261,1.09738,0.000830528,0.000830528,0.000830528
53,3887.03,0.64735,0.80636,1.00268,0.75274,0.78737,0.84435,0.73952,0.4742,0.78379,1.05655,0.000825029,0.000825029,0.000825029
54,3959.57,0.63021,0.77592,0.99036,0.77268,0.86897,0.89191,0.793,0.47982,0.6627,1.05121,0.000819529,0.000819529,0.000819529
55,4032.3,0.66693,0.81576,1.00744,0.77619,0.77526,0.81525,0.71722,0.47737,0.70128,1.05455,0.00081403,0.00081403,0.00081403
56,4107.32,0.63969,0.77392,0.99415,0.75588,0.80361,0.77174,0.65918,0.5176,0.76098,1.07365,0.00080853,0.00080853,0.00080853
57,4179.06,0.64116,0.78009,0.99403,0.63995,0.78375,0.72582,0.64748,0.46466,0.97159,1.03453,0.000803031,0.000803031,0.000803031
58,4252.45,0.64339,0.7726,1.00028,0.72082,0.79186,0.75895,0.67202,0.46329,0.87374,1.04231,0.000797531,0.000797531,0.000797531
59,4324.33,0.63576,0.7659,0.99201,0.64684,0.79156,0.71412,0.63486,0.45502,1.3863,1.04107,0.000792032,0.000792032,0.000792032
60,4397.2,0.6446,0.78468,0.99547,0.789,0.78985,0.87602,0.77203,0.46452,0.76897,1.04816,0.000786532,0.000786532,0.000786532
61,4466.49,0.64608,0.75876,0.99645,0.67362,0.7923,0.72226,0.63972,0.47489,1.71625,1.04872,0.000781033,0.000781033,0.000781033
62,4536.99,0.64758,0.75966,1.00198,0.74461,0.81787,0.83011,0.73696,0.45104,0.71163,1.03534,0.000775534,0.000775534,0.000775534
63,4608.64,0.62882,0.77101,0.99624,0.65397,0.76463,0.68809,0.59833,0.4827,10.2535,1.0671,0.000770034,0.000770034,0.000770034
64,4677.09,0.60348,0.7404,0.98965,0.67566,0.83387,0.72229,0.64092,0.49631,24.2346,1.06334,0.000764535,0.000764535,0.000764535
65,4745.75,0.64,0.74528,0.9968,0.62954,0.84598,0.69624,0.62277,0.46678,11.6011,1.05191,0.000759035,0.000759035,0.000759035
66,4815.18,0.61911,0.74352,0.9857,0.65503,0.81073,0.71341,0.63663,0.45803,9.69638,1.05474,0.000753536,0.000753536,0.000753536
67,4883.18,0.62326,0.72926,0.99706,0.71779,0.81611,0.75246,0.67461,0.45831,0.83369,1.05414,0.000748036,0.000748036,0.000748036
68,4957.48,0.6049,0.73845,0.99129,0.67675,0.7757,0.6972,0.62434,0.46498,4.30008,1.05296,0.000742537,0.000742537,0.000742537
69,5025.13,0.613,0.73301,0.99261,0.69296,0.78201,0.73205,0.65234,0.47296,1.05644,1.06513,0.000737037,0.000737037,0.000737037
70,5094.24,0.61098,0.7062,0.98855,0.72572,0.7912,0.75668,0.67151,0.45623,0.79434,1.06606,0.000731538,0.000731538,0.000731538
71,5161.65,0.6081,0.69774,0.98297,0.72687,0.7635,0.74238,0.66001,0.47259,1.27173,1.05462,0.000726038,0.000726038,0.000726038
72,5230.69,0.62517,0.71147,0.99153,0.74072,0.79736,0.73432,0.65411,0.46431,0.90172,1.05542,0.000720539,0.000720539,0.000720539
73,5298.63,0.60129,0.71368,0.99413,0.81642,0.79883,0.858,0.76294,0.4651,0.66584,1.05473,0.00071504,0.00071504,0.00071504
74,5371.14,0.60704,0.69699,0.98803,0.8469,0.80932,0.88054,0.78006,0.46002,0.67608,1.05265,0.00070954,0.00070954,0.00070954
75,5447.39,0.59245,0.66415,0.98469,0.73717,0.83503,0.82352,0.73422,0.46401,0.67678,1.04893,0.000704041,0.000704041,0.000704041
76,5521.76,0.61494,0.71694,0.99068,0.84154,0.79627,0.86534,0.78012,0.44467,0.59211,1.03171,0.000698541,0.000698541,0.000698541
77,5593.65,0.61209,0.68364,0.99078,0.81251,0.81713,0.89459,0.80907,0.41855,0.62715,1.02877,0.000693042,0.000693042,0.000693042
78,5675.69,0.58985,0.68731,0.98428,0.7577,0.85402,0.87326,0.78108,0.42475,0.67046,1.03374,0.000687542,0.000687542,0.000687542
79,5746.21,0.58974,0.67581,0.98369,0.78792,0.75778,0.87133,0.76629,0.46889,0.72219,1.0485,0.000682043,0.000682043,0.000682043
80,5823.14,0.59848,0.69314,0.9929,0.82213,0.79378,0.85208,0.74608,0.48349,0.69108,1.07424,0.000676543,0.000676543,0.000676543
81,5902.32,0.60731,0.68447,0.98723,0.83158,0.81679,0.89106,0.79865,0.44783,0.63994,1.04777,0.000671044,0.000671044,0.000671044
82,5982.28,0.59227,0.67088,0.9818,0.74694,0.83131,0.86098,0.77015,0.43661,0.71318,1.0389,0.000665545,0.000665545,0.000665545
83,6057.65,0.59481,0.6569,0.98107,0.84121,0.82282,0.89289,0.79901,0.45006,0.62724,1.03701,0.000660045,0.000660045,0.000660045
84,6142.46,0.58074,0.64339,0.98227,0.81512,0.84172,0.88462,0.79091,0.44035,0.60272,1.05186,0.000654546,0.000654546,0.000654546
85,6224.21,0.57784,0.65893,0.98418,0.83959,0.82159,0.89657,0.80595,0.4306,0.59243,1.03823,0.000649046,0.000649046,0.000649046
86,6300.56,0.58941,0.66042,0.98304,0.83995,0.80637,0.90498,0.8145,0.41843,0.62658,1.02649,0.000643547,0.000643547,0.000643547
87,6371.81,0.59071,0.66526,0.98229,0.84512,0.80281,0.89831,0.81253,0.42165,0.57409,1.03513,0.000638047,0.000638047,0.000638047
88,6440.7,0.58916,0.66499,0.98352,0.8314,0.80417,0.89521,0.80341,0.42062,0.65138,1.03506,0.000632548,0.000632548,0.000632548
89,6509.37,0.56964,0.65088,0.97904,0.76247,0.85711,0.8725,0.78934,0.42064,0.67006,1.036,0.000627048,0.000627048,0.000627048
90,6581.88,0.5831,0.64174,0.9834,0.85381,0.80254,0.88889,0.7967,0.43599,0.61992,1.0428,0.000621549,0.000621549,0.000621549
91,6653.99,0.58575,0.64558,0.98582,0.79653,0.84389,0.87279,0.78498,0.41773,0.62407,1.03347,0.000616049,0.000616049,0.000616049
92,6726.62,0.60119,0.6661,0.98854,0.84163,0.80155,0.89117,0.79868,0.42533,0.57956,1.03774,0.00061055,0.00061055,0.00061055
93,6794.82,0.57797,0.6531,0.97984,0.83987,0.80758,0.87826,0.78947,0.43583,0.67881,1.04631,0.000605051,0.000605051,0.000605051
94,6862.78,0.57722,0.64032,0.98052,0.82077,0.82624,0.89516,0.80982,0.41093,0.63515,1.03392,0.000599551,0.000599551,0.000599551
95,6933.87,0.59073,0.66029,0.98651,0.80696,0.84038,0.88556,0.78971,0.4484,0.58172,1.05425,0.000594052,0.000594052,0.000594052
96,7004.5,0.58645,0.64273,0.98151,0.85666,0.84287,0.89853,0.80357,0.45601,0.57394,1.06342,0.000588552,0.000588552,0.000588552
97,7071.22,0.57828,0.61389,0.97872,0.78487,0.82237,0.86843,0.79238,0.40144,0.64705,1.0211,0.000583053,0.000583053,0.000583053
98,7141.33,0.56423,0.6333,0.96573,0.79346,0.8659,0.87923,0.79695,0.4289,0.60798,1.03558,0.000577553,0.000577553,0.000577553
99,7211.35,0.57343,0.61412,0.97348,0.83259,0.8503,0.90078,0.8203,0.42755,0.55846,1.03717,0.000572054,0.000572054,0.000572054
