epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1335.16,0.79236,1.02916,1.02271,0.71461,0.67224,0.77522,0.60838,0.7427,1.07095,1.12768,0.000885523,0.000885523,0.000885523
43,1366.34,0.779,1.00809,1.02389,0.70202,0.75135,0.82572,0.69103,0.63817,1.00537,1.09393,0.000880023,0.000880023,0.000880023
44,1397.25,0.76691,1.01656,1.01799,0.65407,0.7827,0.79235,0.65058,0.64052,1.04892,1.0805,0.000874524,0.000874524,0.000874524
45,1428.53,0.78615,1.01392,1.02668,0.70908,0.80663,0.83219,0.69011,0.61178,1.01608,1.06366,0.000869024,0.000869024,0.000869024
46,1460.35,0.79853,1.02633,1.03324,0.752,0.7457,0.82438,0.6882,0.6091,1.02134,1.06746,0.000863525,0.000863525,0.000863525
47,1491.94,0.76581,0.99588,1.02593,0.76163,0.77613,0.83937,0.70884,0.5694,0.89493,1.05686,0.000858025,0.000858025,0.000858025
48,1523.17,0.77599,0.9811,1.02459,0.75278,0.7247,0.82758,0.68509,0.59115,1.02585,1.05261,0.000852526,0.000852526,0.000852526
49,1554.94,0.77438,0.98649,1.02668,0.7665,0.79817,0.84703,0.70693,0.58469,0.8934,1.06146,0.000847026,0.000847026,0.000847026
50,1586.29,0.76422,0.97151,1.01429,0.72669,0.76413,0.83036,0.69212,0.63341,0.99246,1.09868,0.000841527,0.000841527,0.000841527
51,1618.09,0.76998,0.98617,1.02178,0.76083,0.72785,0.83399,0.70137,0.60241,0.91622,1.07045,0.000836027,0.000836027,0.000836027
52,1649.31,0.75461,0.98865,1.0242,0.66369,0.7746,0.82008,0.69557,0.62231,0.96893,1.09128,0.000830528,0.000830528,0.000830528
53,1680.05,0.76706,0.97369,1.02474,0.68823,0.70706,0.78618,0.64845,0.62201,1.12489,1.06975,0.000825029,0.000825029,0.000825029
54,1711.19,0.75795,0.9586,1.01494,0.7181,0.76731,0.82116,0.69066,0.60469,1.03206,1.0536,0.000819529,0.000819529,0.000819529
55,1742.96,0.79557,0.99318,1.02856,0.63463,0.66784,0.68878,0.53145,0.82665,1.60568,1.16475,0.00081403,0.00081403,0.00081403
56,1774.09,0.75162,0.96602,1.01103,0.69568,0.71028,0.76781,0.61172,0.63012,1.26017,1.05833,0.00080853,0.00080853,0.00080853
57,1805.85,0.74847,0.97341,1.01176,0.61276,0.71558,0.71544,0.57958,0.64808,1.23739,1.06773,0.000803031,0.000803031,0.000803031
58,1836.99,0.75299,0.95619,1.01746,0.72973,0.74076,0.788,0.65671,0.60063,1.058,1.06573,0.000797531,0.000797531,0.000797531
59,1868.5,0.74563,0.94345,1.01407,0.71005,0.76626,0.82815,0.70277,0.56432,0.95659,1.07347,0.000792032,0.000792032,0.000792032
60,1899.7,0.7864,0.9809,1.02491,0.75404,0.77579,0.857,0.71643,0.60156,0.90914,1.06152,0.000786532,0.000786532,0.000786532
61,1931.52,0.75138,0.93755,1.01316,0.7601,0.72928,0.82023,0.68141,0.60441,1.07278,1.06378,0.000781033,0.000781033,0.000781033
62,1962.71,0.76589,0.93606,1.02228,0.75568,0.75603,0.85704,0.71892,0.58966,0.96115,1.05837,0.000775534,0.000775534,0.000775534
63,1993.47,0.75386,0.95917,1.01786,0.74856,0.78794,0.84347,0.7051,0.5967,0.9823,1.07168,0.000770034,0.000770034,0.000770034
64,2024.59,0.72596,0.94874,1.01223,0.73157,0.81513,0.84395,0.69747,0.60439,0.96457,1.07363,0.000764535,0.000764535,0.000764535
65,2056.26,0.75559,0.93307,1.01857,0.81087,0.77576,0.86136,0.72079,0.55922,0.85603,1.06275,0.000759035,0.000759035,0.000759035
66,2087.59,0.73746,0.9214,1.00367,0.75581,0.80178,0.85468,0.71284,0.58288,0.88552,1.07151,0.000753536,0.000753536,0.000753536
67,2119.37,0.75521,0.9206,1.02055,0.71844,0.73998,0.80507,0.67507,0.61413,1.05119,1.07463,0.000748036,0.000748036,0.000748036
68,2151.27,0.74075,0.94241,1.01807,0.71214,0.74051,0.81045,0.65741,0.62295,1.13553,1.07461,0.000742537,0.000742537,0.000742537
69,2182.51,0.74384,0.93217,1.01578,0.75562,0.75313,0.83012,0.69915,0.58003,0.93515,1.06053,0.000737037,0.000737037,0.000737037
70,2214.22,0.737,0.91718,1.01162,0.74712,0.68876,0.7846,0.65347,0.58798,1.16612,1.05006,0.000731538,0.000731538,0.000731538
71,2245.39,0.73257,0.90152,1.00388,0.80194,0.6642,0.81621,0.68146,0.58088,1.05521,1.0392,0.000726038,0.000726038,0.000726038
72,2276.14,0.74988,0.92682,1.01193,0.72546,0.67903,0.77006,0.62308,0.647,1.11455,1.06894,0.000720539,0.000720539,0.000720539
73,2307.32,0.72967,0.90843,1.01469,0.65235,0.68322,0.72915,0.61355,0.60725,1.24924,1.05086,0.00071504,0.00071504,0.00071504
74,2339.11,0.73884,0.90047,1.00924,0.72662,0.72088,0.79072,0.66678,0.5695,1.0012,1.04716,0.00070954,0.00070954,0.00070954
75,2370.34,0.70706,0.88283,1.00538,0.70951,0.77192,0.8186,0.68978,0.55943,1.03099,1.03819,0.000704041,0.000704041,0.000704041
76,2402.1,0.73835,0.92024,1.01004,0.73711,0.75963,0.82342,0.70604,0.54127,0.93782,1.04991,0.000698541,0.000698541,0.000698541
77,2433.2,0.73553,0.89626,1.01211,0.71144,0.75753,0.81013,0.68891,0.57182,1.0434,1.05489,0.000693042,0.000693042,0.000693042
78,2464.98,0.73319,0.9024,1.01027,0.81634,0.71663,0.85301,0.72896,0.54172,0.92607,1.04273,0.000687542,0.000687542,0.000687542
79,2496.04,0.72156,0.88407,1.01085,0.76042,0.7799,0.85385,0.72191,0.58499,0.8823,1.07075,0.000682043,0.000682043,0.000682043
80,2528.07,0.72769,0.89918,1.01571,0.78217,0.76605,0.85296,0.72354,0.5599,0.88276,1.05577,0.000676543,0.000676543,0.000676543
81,2559.22,0.73584,0.9032,1.00806,0.77932,0.81053,0.87797,0.75481,0.52192,0.77417,1.04393,0.000671044,0.000671044,0.000671044
82,2589.99,0.72669,0.89817,1.00409,0.74632,0.75432,0.85982,0.73747,0.57495,0.956,1.06438,0.000665545,0.000665545,0.000665545
83,2621.13,0.73312,0.87706,1.00554,0.74766,0.76166,0.83965,0.71001,0.56884,0.96228,1.05972,0.000660045,0.000660045,0.000660045
84,2652.83,0.70401,0.86961,1.00302,0.71568,0.73469,0.81106,0.68051,0.60358,1.00154,1.07473,0.000654546,0.000654546,0.000654546
85,2684.08,0.71314,0.88524,1.00969,0.78159,0.70403,0.83007,0.70772,0.55868,1.0237,1.0481,0.000649046,0.000649046,0.000649046
86,2715.94,0.71464,0.88142,1.00173,0.72512,0.79004,0.8428,0.70652,0.55879,0.94862,1.04915,0.000643547,0.000643547,0.000643547
87,2746.94,0.72606,0.88977,1.00629,0.73937,0.79903,0.83022,0.69981,0.54995,0.93055,1.05247,0.000638047,0.000638047,0.000638047
88,2778.71,0.7192,0.87297,1.00559,0.76362,0.72846,0.80605,0.66424,0.60418,1.19989,1.06162,0.000632548,0.000632548,0.000632548
89,2809.95,0.7069,0.87148,1.00327,0.76617,0.74332,0.84434,0.72053,0.55058,0.92553,1.04025,0.000627048,0.000627048,0.000627048
90,2841.41,0.7137,0.87539,1.00487,0.8056,0.76761,0.84863,0.71664,0.56901,0.91814,1.05012,0.000621549,0.000621549,0.000621549
91,2872.24,0.71424,0.85259,1.00919,0.75276,0.73127,0.82249,0.69487,0.57686,1.0316,1.04602,0.000616049,0.000616049,0.000616049
92,2903.28,0.72345,0.88746,1.00468,0.7616,0.77516,0.85767,0.73101,0.53309,0.92853,1.03442,0.00061055,0.00061055,0.00061055
93,2935,0.69381,0.84614,0.99533,0.84224,0.75707,0.8735,0.7522,0.51025,0.87367,1.03414,0.000605051,0.000605051,0.000605051
94,2966.1,0.70862,0.87307,1.00334,0.73999,0.6978,0.78846,0.65761,0.56549,1.13408,1.03981,0.000599551,0.000599551,0.000599551
95,2997.8,0.71767,0.88048,1.00712,0.80767,0.72285,0.83527,0.71045,0.54628,0.91699,1.04712,0.000594052,0.000594052,0.000594052
96,3029.13,0.71158,0.85979,1.00513,0.81122,0.7756,0.86281,0.73786,0.52582,0.86503,1.0493,0.000588552,0.000588552,0.000588552
97,3060.73,0.70272,0.83464,1.00293,0.69731,0.71375,0.76522,0.63245,0.59266,1.14097,1.05705,0.000583053,0.000583053,0.000583053
98,3091.87,0.69684,0.85733,0.98881,0.66568,0.68205,0.73132,0.58986,0.70122,1.39274,1.11677,0.000577553,0.000577553,0.000577553
99,3123.76,0.70604,0.84505,1.0035,0.81955,0.74493,0.85076,0.73737,0.51666,0.86451,1.0299,0.000572054,0.000572054,0.000572054
100,3154.87,0.70188,0.83254,1.0025,0.7512,0.75206,0.83023,0.69964,0.56425,1.015,1.04961,0.000566554,0.000566554,0.000566554
101,3185.7,0.71237,0.8522,1.00981,0.76021,0.74356,0.82044,0.67976,0.5758,1.03805,1.051,0.000561055,0.000561055,0.000561055
102,3216.84,0.69923,0.84627,1.00424,0.79966,0.76302,0.85918,0.71749,0.56927,0.92221,1.05201,0.000555556,0.000555556,0.000555556
103,3248.67,0.70593,0.85631,1.00548,0.84975,0.76417,0.87391,0.74641,0.52706,0.79646,1.04306,0.000550056,0.000550056,0.000550056
104,3279.99,0.68723,0.84305,0.99837,0.60208,0.65564,0.66392,0.52601,0.75945,2.01986,1.12756,0.000544557,0.000544557,0.000544557
105,3311.86,0.69514,0.84832,1.00283,0.6004,0.74583,0.70113,0.56872,0.66347,1.58649,1.07477,0.000539057,0.000539057,0.000539057
106,3343.06,0.68968,0.82875,0.99903,0.55972,0.68315,0.67618,0.53449,0.71678,1.77247,1.10468,0.000533558,0.000533558,0.000533558
107,3374.99,0.69836,0.83482,0.99987,0.69307,0.65218,0.73686,0.59087,0.6275,1.32752,1.05917,0.000528058,0.000528058,0.000528058
108,3406.08,0.69618,0.83298,1.00411,0.61488,0.64196,0.65704,0.52897,0.67642,1.86177,1.07283,0.000522559,0.000522559,0.000522559
109,3438.26,0.70022,0.8232,0.99865,0.59124,0.70756,0.68927,0.55384,0.63651,1.55793,1.0616,0.000517059,0.000517059,0.000517059
110,3469.18,0.70747,0.82378,1.00625,0.59882,0.62876,0.64998,0.50185,0.80576,1.96802,1.14931,0.00051156,0.00051156,0.00051156
111,3500.01,0.69115,0.83369,0.99685,0.68099,0.68135,0.75029,0.6044,0.62498,1.46596,1.05251,0.00050606,0.00050606,0.00050606
112,3531.34,0.71198,0.82141,1.00214,0.60552,0.54721,0.61606,0.48019,0.80024,2.02603,1.11691,0.000500561,0.000500561,0.000500561
113,3562.93,0.68801,0.84325,0.99779,0.53062,0.5354,0.54885,0.42354,0.94161,2.62224,1.19377,0.000495062,0.000495062,0.000495062
114,3594.58,0.69172,0.82943,1.00513,0.63015,0.65775,0.70321,0.56223,0.73115,1.9331,1.10819,0.000489562,0.000489562,0.000489562
115,3625.69,0.68082,0.81529,0.99484,0.68934,0.69007,0.7371,0.60168,0.60832,1.3917,1.05071,0.000484063,0.000484063,0.000484063
116,3657.54,0.6864,0.79681,0.99844,0.72712,0.71901,0.77182,0.62596,0.59199,1.23234,1.03555,0.000478563,0.000478563,0.000478563
117,3688.67,0.67086,0.79734,0.99095,0.72386,0.7273,0.79974,0.65029,0.58285,1.15397,1.05113,0.000473064,0.000473064,0.000473064
118,3720.49,0.6846,0.81207,0.99221,0.53361,0.51143,0.53717,0.41025,0.93692,2.83761,1.18661,0.000467564,0.000467564,0.000467564
119,3751.64,0.69061,0.79305,1.00332,0.5497,0.57046,0.58417,0.45208,0.87285,2.6128,1.16602,0.000462065,0.000462065,0.000462065
120,3782.43,0.67892,0.82948,0.99882,0.5881,0.66664,0.66193,0.52487,0.71511,1.85667,1.09664,0.000456565,0.000456565,0.000456565
121,3813.39,0.70155,0.81186,1.00364,0.67534,0.69968,0.75876,0.63299,0.6072,1.33125,1.05605,0.000451066,0.000451066,0.000451066
122,3845.18,0.67292,0.80078,0.99034,0.731,0.71096,0.79011,0.65639,0.56955,1.2075,1.04724,0.000445567,0.000445567,0.000445567
123,3876.29,0.67666,0.80352,0.99541,0.72122,0.6715,0.75608,0.60078,0.61827,1.44462,1.05536,0.000440067,0.000440067,0.000440067
124,3908.26,0.67164,0.81767,0.99218,0.58959,0.58164,0.61732,0.49533,0.72837,2.00394,1.1091,0.000434568,0.000434568,0.000434568
125,3939.59,0.68597,0.80369,0.99478,0.63756,0.7204,0.72792,0.59732,0.61119,1.23102,1.04704,0.000429068,0.000429068,0.000429068
126,3971.81,0.67072,0.78002,0.99279,0.70471,0.70134,0.76573,0.63488,0.58424,1.16422,1.04018,0.000423569,0.000423569,0.000423569
127,4002.87,0.66802,0.78089,0.99436,0.66779,0.7141,0.736,0.60331,0.60489,1.3264,1.04537,0.000418069,0.000418069,0.000418069
128,4034.83,0.67752,0.78705,0.99867,0.7205,0.71882,0.76707,0.63602,0.57166,1.21444,1.0315,0.00041257,0.00041257,0.00041257
129,4065.99,0.68659,0.81261,0.99434,0.65338,0.66928,0.71312,0.58965,0.63604,1.4446,1.06374,0.00040707,0.00040707,0.00040707
130,4096.76,0.67147,0.7967,0.99289,0.67638,0.65524,0.70339,0.57223,0.68307,1.6658,1.08542,0.000401571,0.000401571,0.000401571
131,4128.65,0.68153,0.78027,0.99391,0.5403,0.57813,0.57387,0.4496,0.9586,2.27892,1.24419,0.000396071,0.000396071,0.000396071
132,4159.74,0.66257,0.7887,0.99181,0.54242,0.59977,0.58938,0.46371,0.97056,2.63044,1.25589,0.000390572,0.000390572,0.000390572
133,4191.2,0.66802,0.7729,0.99444,0.55356,0.60067,0.62049,0.50752,0.74573,2.07486,1.12178,0.000385073,0.000385073,0.000385073
134,4222.53,0.66981,0.77521,0.98668,0.61189,0.64634,0.63902,0.51974,0.81767,2.15851,1.16872,0.000379573,0.000379573,0.000379573
135,4254.28,0.67648,0.78473,0.993,0.56019,0.65441,0.62687,0.51226,0.82458,2.15328,1.17096,0.000374074,0.000374074,0.000374074
136,4285.41,0.65878,0.77298,0.98781,0.61121,0.64695,0.65888,0.52772,0.78274,1.78757,1.14014,0.000368574,0.000368574,0.000368574
137,4317.18,0.6662,0.77925,0.9929,0.579,0.64422,0.65477,0.53471,0.80598,1.93948,1.17077,0.000363075,0.000363075,0.000363075
138,4348.38,0.66703,0.77134,0.99647,0.61087,0.64673,0.65599,0.52629,0.80961,2.017,1.16894,0.000357575,0.000357575,0.000357575
139,4379.25,0.67658,0.77474,0.99537,0.6788,0.62734,0.67412,0.549,0.75125,1.87584,1.131,0.000352076,0.000352076,0.000352076
140,4410.37,0.68027,0.77184,0.99465,0.60064,0.63424,0.65344,0.52681,0.71765,1.93264,1.10528,0.000346576,0.000346576,0.000346576
141,4442.14,0.66252,0.78645,0.99112,0.70573,0.68296,0.75306,0.61358,0.6346,1.30709,1.07014,0.000341077,0.000341077,0.000341077
142,4473.31,0.65971,0.78379,0.98825,0.65066,0.66031,0.70025,0.56907,0.67417,1.46748,1.08893,0.000335578,0.000335578,0.000335578
143,4505,0.64952,0.75973,0.97687,0.57836,0.63292,0.63485,0.51033,0.80835,1.94132,1.16456,0.000330078,0.000330078,0.000330078
144,4536.14,0.67141,0.78691,0.99312,0.49755,0.53873,0.54468,0.42305,1.08471,2.56359,1.32888,0.000324579,0.000324579,0.000324579
145,4568.02,0.66064,0.76339,0.99391,0.52023,0.55423,0.56598,0.43715,0.89959,2.6187,1.21175,0.000319079,0.000319079,0.000319079
146,4599.11,0.64708,0.75442,0.98346,0.46896,0.53123,0.53495,0.41261,1.04254,2.88873,1.28987,0.00031358,0.00031358,0.00031358
147,4631.09,0.64841,0.76408,0.98282,0.58475,0.55548,0.60608,0.48187,0.81038,2.26688,1.16318,0.00030808,0.00030808,0.00030808
148,4662.35,0.6621,0.7658,0.99401,0.48635,0.54212,0.53702,0.4116,1.0418,2.82485,1.30746,0.000302581,0.000302581,0.000302581
149,4693.1,0.6625,0.77084,0.99507,0.49215,0.56563,0.56765,0.4622,1.0237,2.489,1.29481,0.000297081,0.000297081,0.000297081
150,4724.09,0.64658,0.73897,0.98834,0.51,0.63051,0.57964,0.4701,1.08709,2.66371,1.35258,0.000291582,0.000291582,0.000291582
151,4755.88,0.66263,0.7413,0.99031,0.49282,0.61047,0.55435,0.44569,1.04058,2.80452,1.31111,0.000286083,0.000286083,0.000286083
152,4786.82,0.6458,0.7611,0.98683,0.55687,0.58746,0.59357,0.47213,1.01636,2.53661,1.31768,0.000280583,0.000280583,0.000280583
153,4819.55,0.66267,0.75938,0.99392,0.45831,0.58586,0.52937,0.41383,1.14042,2.75628,1.36248,0.000275084,0.000275084,0.000275084
154,4854.57,0.64501,0.73957,0.98377,0.5563,0.52396,0.56308,0.44553,1.07782,2.58339,1.33173,0.000269584,0.000269584,0.000269584
155,4885.47,0.63233,0.72325,0.98405,0.57804,0.58279,0.60134,0.48477,0.95471,2.32296,1.25514,0.000264085,0.000264085,0.000264085
156,4916.04,0.65517,0.75446,0.99181,0.53045,0.5216,0.53266,0.42877,1.01095,2.82529,1.28539,0.000258585,0.000258585,0.000258585
157,4947.14,0.65645,0.74155,0.98717,0.48142,0.60201,0.54842,0.45069,0.92063,2.66376,1.23619,0.000253086,0.000253086,0.000253086
158,4977.87,0.65422,0.73531,0.98432,0.44341,0.55165,0.52175,0.41555,1.00453,2.87863,1.26884,0.000247586,0.000247586,0.000247586
159,5008.86,0.63996,0.73246,0.98213,0.47841,0.52072,0.52292,0.41207,0.96651,2.96503,1.22549,0.000242087,0.000242087,0.000242087
160,5040.63,0.63649,0.72617,0.98325,0.50693,0.53802,0.5424,0.43643,0.92554,2.74457,1.22495,0.000236587,0.000236587,0.000236587
161,5071.73,0.6336,0.71823,0.98236,0.51075,0.58512,0.56122,0.44415,0.94221,2.62613,1.23635,0.000231088,0.000231088,0.000231088
162,5103.48,0.6446,0.74631,0.98362,0.48291,0.54548,0.52073,0.40615,1.08321,3.14963,1.35652,0.000225589,0.000225589,0.000225589
163,5134.72,0.64584,0.73153,0.98502,0.49865,0.54835,0.52526,0.4073,1.14005,3.12822,1.39239,0.000220089,0.000220089,0.000220089
164,5166.35,0.64205,0.72215,0.981,0.47348,0.63365,0.54978,0.43482,1.08924,2.73897,1.37214,0.00021459,0.00021459,0.00021459
165,5197.38,0.64558,0.7201,0.98489,0.48962,0.54176,0.52811,0.41179,1.10678,2.94326,1.357,0.00020909,0.00020909,0.00020909
166,5229.04,0.65599,0.7321,0.9925,0.51385,0.53589,0.53408,0.4223,1.08327,2.91732,1.35918,0.000203591,0.000203591,0.000203591
167,5260,0.63169,0.71872,0.98425,0.48545,0.58306,0.54936,0.42995,1.06984,3.05932,1.34757,0.000198091,0.000198091,0.000198091
168,5290.76,0.63874,0.73334,0.98912,0.46133,0.59164,0.52628,0.4079,1.12427,2.97657,1.37948,0.000192592,0.000192592,0.000192592
169,5321.66,0.63883,0.73379,0.98212,0.46619,0.6067,0.54255,0.43056,1.07589,2.96349,1.35614,0.000187092,0.000187092,0.000187092
170,5353.36,0.62659,0.70085,0.97686,0.47975,0.59274,0.54169,0.41881,1.05317,3.07208,1.33512,0.000181593,0.000181593,0.000181593
171,5384.29,0.63426,0.70876,0.98509,0.50589,0.58234,0.55979,0.43093,0.99612,2.8026,1.29698,0.000176094,0.000176094,0.000176094
172,5415.87,0.63667,0.71214,0.98386,0.50453,0.59497,0.5668,0.44778,0.99121,2.77347,1.29498,0.000170594,0.000170594,0.000170594
173,5446.49,0.62681,0.71423,0.98284,0.51591,0.57541,0.56889,0.45575,0.93804,2.86491,1.26877,0.000165095,0.000165095,0.000165095
174,5478.47,0.63422,0.71408,0.98681,0.4976,0.50782,0.51631,0.40833,1.00487,3.03275,1.30464,0.000159595,0.000159595,0.000159595
175,5509.45,0.63721,0.70582,0.9894,0.49864,0.47596,0.51848,0.40667,1.08433,3.02449,1.35924,0.000154096,0.000154096,0.000154096
176,5541.05,0.63944,0.72015,0.98287,0.55555,0.51463,0.56543,0.44726,0.99634,2.65722,1.30074,0.000148596,0.000148596,0.000148596
177,5571.6,0.62621,0.70313,0.98747,0.56054,0.53941,0.56997,0.45287,0.96855,2.65617,1.27863,0.000143097,0.000143097,0.000143097
178,5602.54,0.63848,0.71509,0.98283,0.53956,0.55905,0.57044,0.4608,0.92681,2.43066,1.2453,0.000137597,0.000137597,0.000137597
179,5634.13,0.63008,0.71338,0.97884,0.55568,0.55958,0.58195,0.46696,0.89886,2.39501,1.22786,0.000132098,0.000132098,0.000132098
180,5666.18,0.62653,0.70089,0.97135,0.54455,0.60841,0.59916,0.47976,0.80802,2.25593,1.16778,0.000126598,0.000126598,0.000126598
181,5697.82,0.63196,0.71682,0.98771,0.4893,0.61973,0.57575,0.46346,0.88234,2.33176,1.22551,0.000121099,0.000121099,0.000121099
