epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3523.35,0.68006,0.86724,1.00534,0.71532,0.62103,0.74652,0.59262,0.72205,1.33569,1.17001,0.000810363,0.000810363,0.000810363
43,3606.19,0.66704,0.84403,1.00499,0.73437,0.72753,0.81649,0.70991,0.47599,0.86232,1.04791,0.000803031,0.000803031,0.000803031
44,3689.07,0.66591,0.85838,1.00547,0.77924,0.7734,0.84874,0.74935,0.46574,0.76981,1.04676,0.000795698,0.000795698,0.000795698
45,3772.11,0.66275,0.846,1.00424,0.68995,0.76772,0.80052,0.68494,0.57285,0.84711,1.11017,0.000788366,0.000788366,0.000788366
46,3854.85,0.68243,0.8641,1.01866,0.65169,0.80959,0.81266,0.71582,0.48253,0.88679,1.05989,0.000781033,0.000781033,0.000781033
47,3937.97,0.66087,0.85366,1.00645,0.67872,0.75492,0.78731,0.68162,0.50625,0.84829,1.06937,0.0007737,0.0007737,0.0007737
48,4020.68,0.66485,0.80838,1.00376,0.70241,0.781,0.79544,0.70677,0.50351,0.83644,1.04707,0.000766368,0.000766368,0.000766368
49,4103.72,0.67061,0.84108,1.0128,0.76699,0.70201,0.79647,0.65079,0.65041,0.96965,1.11579,0.000759035,0.000759035,0.000759035
50,4188.81,0.64517,0.82528,0.99367,0.7801,0.78956,0.84076,0.71153,0.56038,0.7805,1.076,0.000751703,0.000751703,0.000751703
51,4271.89,0.65067,0.8241,0.99993,0.65369,0.77162,0.78919,0.6808,0.53693,0.89957,1.08,0.00074437,0.00074437,0.00074437
52,4354.72,0.64601,0.82114,1.00586,0.68477,0.7222,0.78418,0.67723,0.53613,0.9305,1.07619,0.000737037,0.000737037,0.000737037
53,4437.29,0.63614,0.81242,1.00079,0.73849,0.81179,0.85188,0.74953,0.46031,0.77772,1.04221,0.000729705,0.000729705,0.000729705
54,4520.5,0.64762,0.8115,0.99485,0.80415,0.76644,0.84569,0.74464,0.4493,0.7467,1.04045,0.000722372,0.000722372,0.000722372
55,4603.31,0.6651,0.81595,1.0099,0.79427,0.79038,0.8576,0.74236,0.4856,0.72382,1.06273,0.00071504,0.00071504,0.00071504
56,4686.31,0.64619,0.789,0.99385,0.7352,0.8188,0.85818,0.73868,0.52674,0.74307,1.07896,0.000707707,0.000707707,0.000707707
57,4769.03,0.64401,0.80034,1.00049,0.78209,0.76159,0.84087,0.74053,0.47662,0.89745,1.05375,0.000700374,0.000700374,0.000700374
58,4852.07,0.63351,0.79049,0.99624,0.78355,0.81042,0.88026,0.78481,0.44594,0.78873,1.03992,0.000693042,0.000693042,0.000693042
59,4934.68,0.63386,0.77577,0.99742,0.75491,0.80074,0.85459,0.7657,0.44812,0.81157,1.05008,0.000685709,0.000685709,0.000685709
60,5017.77,0.64676,0.80781,0.99891,0.81426,0.83419,0.89412,0.81003,0.43453,0.65519,1.0339,0.000678377,0.000678377,0.000678377
61,5100.66,0.63745,0.78308,0.99754,0.7292,0.77472,0.84331,0.73593,0.51581,0.81263,1.08319,0.000671044,0.000671044,0.000671044
62,5183.63,0.64522,0.77921,1.00346,0.69175,0.80808,0.86273,0.76929,0.45458,1.00737,1.03838,0.000663711,0.000663711,0.000663711
63,5266.5,0.6266,0.79681,0.99371,0.74202,0.80774,0.84357,0.74619,0.46623,0.77314,1.05856,0.000656379,0.000656379,0.000656379
64,5349.36,0.60333,0.76986,0.9911,0.77383,0.81068,0.86495,0.77107,0.44004,0.71513,1.0513,0.000649046,0.000649046,0.000649046
65,5432.13,0.63696,0.76002,0.99686,0.83036,0.81502,0.87391,0.78681,0.42047,0.63602,1.03432,0.000641714,0.000641714,0.000641714
66,5515.15,0.61507,0.74702,0.98326,0.81328,0.76071,0.87485,0.78535,0.42534,0.69461,1.04085,0.000634381,0.000634381,0.000634381
67,5598.39,0.61256,0.7249,0.9964,0.74815,0.8294,0.86681,0.77386,0.44178,0.69412,1.05888,0.000627048,0.000627048,0.000627048
68,5681.42,0.59397,0.74177,0.98769,0.87136,0.81255,0.90086,0.81752,0.43461,0.59844,1.04917,0.000619716,0.000619716,0.000619716
69,5764.55,0.60738,0.73172,0.99295,0.79518,0.78814,0.87636,0.78651,0.45784,0.65778,1.05133,0.000612383,0.000612383,0.000612383
70,5847.66,0.60355,0.72812,0.98931,0.81227,0.80831,0.87702,0.79287,0.4259,0.65946,1.03657,0.000605051,0.000605051,0.000605051
71,5930.18,0.60239,0.71131,0.98158,0.82807,0.7853,0.86413,0.77829,0.45142,0.7034,1.05515,0.000597718,0.000597718,0.000597718
72,6012.82,0.61312,0.71984,0.98711,0.87512,0.81221,0.89048,0.80642,0.44343,0.58608,1.04166,0.000590385,0.000590385,0.000590385
73,6095.59,0.59132,0.72648,0.98874,0.76123,0.81492,0.87545,0.79096,0.45099,0.6843,1.04639,0.000583053,0.000583053,0.000583053
74,6178.92,0.60896,0.71237,0.98783,0.85093,0.76897,0.88895,0.79319,0.44116,0.63428,1.03727,0.00057572,0.00057572,0.00057572
75,6261.64,0.593,0.68851,0.98861,0.85248,0.78934,0.8928,0.79925,0.44616,0.6509,1.04741,0.000568388,0.000568388,0.000568388
76,6344.59,0.60255,0.72208,0.98921,0.83595,0.77839,0.88889,0.796,0.42997,0.6402,1.04163,0.000561055,0.000561055,0.000561055
77,6427.58,0.60203,0.70109,0.98837,0.82184,0.75346,0.88307,0.80196,0.41452,0.73078,1.02639,0.000553722,0.000553722,0.000553722
78,6511.03,0.58605,0.70332,0.98386,0.81299,0.78237,0.8873,0.79594,0.43476,0.67473,1.03668,0.00054639,0.00054639,0.00054639
79,6593.44,0.58049,0.68462,0.98137,0.80656,0.79469,0.88476,0.79174,0.43908,0.69336,1.03807,0.000539057,0.000539057,0.000539057
80,6676.07,0.58622,0.70526,0.99305,0.79843,0.7592,0.85995,0.76645,0.43312,0.77525,1.04896,0.000531725,0.000531725,0.000531725
81,6758.83,0.59793,0.68636,0.98745,0.79645,0.83188,0.87757,0.793,0.41674,0.68783,1.03232,0.000524392,0.000524392,0.000524392
82,6842.38,0.59078,0.68279,0.98097,0.81054,0.80233,0.873,0.78454,0.42491,0.69797,1.04171,0.000517059,0.000517059,0.000517059
83,6925.05,0.5874,0.67064,0.97962,0.83091,0.83117,0.8995,0.813,0.41956,0.60237,1.03306,0.000509727,0.000509727,0.000509727
84,7007.9,0.57042,0.66298,0.97961,0.81201,0.81101,0.87149,0.78944,0.40513,0.65221,1.03364,0.000502394,0.000502394,0.000502394
85,7090.64,0.56422,0.66704,0.98002,0.79475,0.8166,0.87535,0.77962,0.44327,0.65832,1.06665,0.000495062,0.000495062,0.000495062
86,7173.86,0.56885,0.68125,0.97654,0.80527,0.85219,0.90514,0.81014,0.43612,0.60529,1.06035,0.000487729,0.000487729,0.000487729
87,7256.52,0.58416,0.67731,0.98101,0.77339,0.83515,0.87833,0.79777,0.4057,0.6816,1.03315,0.000480396,0.000480396,0.000480396
88,7339.41,0.57575,0.67575,0.9803,0.81648,0.82976,0.90374,0.82202,0.433,0.64675,1.04988,0.000473064,0.000473064,0.000473064
89,7422.44,0.56096,0.66767,0.9771,0.75498,0.78201,0.85028,0.76206,0.42362,0.77586,1.04233,0.000465731,0.000465731,0.000465731
90,7505.38,0.57782,0.65858,0.98271,0.83476,0.78575,0.88082,0.79966,0.41874,0.69774,1.03237,0.000458399,0.000458399,0.000458399
91,7588.44,0.57718,0.64561,0.98443,0.83824,0.81918,0.88938,0.804,0.40856,0.61098,1.03856,0.000451066,0.000451066,0.000451066
92,7671.07,0.59436,0.66726,0.98418,0.83875,0.84875,0.8989,0.8073,0.41461,0.59638,1.04576,0.000443733,0.000443733,0.000443733
93,7753.92,0.56028,0.64814,0.97303,0.83684,0.8167,0.89124,0.80968,0.41688,0.63619,1.0422,0.000436401,0.000436401,0.000436401
94,7836.71,0.56955,0.64496,0.97814,0.83978,0.82588,0.89164,0.81026,0.41282,0.60507,1.03907,0.000429068,0.000429068,0.000429068
95,7919.51,0.5794,0.66306,0.98219,0.88673,0.79974,0.89721,0.80547,0.43768,0.56952,1.04698,0.000421736,0.000421736,0.000421736
96,8014.72,0.56524,0.63031,0.9776,0.86972,0.80328,0.90089,0.80532,0.41808,0.54871,1.0411,0.000414403,0.000414403,0.000414403
97,8108.52,0.56246,0.62438,0.97351,0.84871,0.81056,0.9003,0.81806,0.40984,0.58709,1.04242,0.00040707,0.00040707,0.00040707
98,8198.6,0.55061,0.63158,0.96236,0.88745,0.79511,0.89699,0.80699,0.44413,0.59183,1.04729,0.000399738,0.000399738,0.000399738
99,8292.2,0.55426,0.6204,0.9699,0.84768,0.8383,0.89901,0.81387,0.41926,0.58373,1.04188,0.000392405,0.000392405,0.000392405
100,8386.72,0.56278,0.61899,0.97572,0.84987,0.82599,0.90118,0.8236,0.40022,0.57496,1.04114,0.000385073,0.000385073,0.000385073
101,8484.15,0.56412,0.62274,0.97872,0.81766,0.84113,0.90207,0.8179,0.41428,0.62094,1.04161,0.00037774,0.00037774,0.00037774
102,8571.24,0.55253,0.62904,0.97775,0.80814,0.84198,0.89462,0.81645,0.40741,0.61721,1.04513,0.000370407,0.000370407,0.000370407
103,8653.76,0.56056,0.6247,0.97905,0.87713,0.85923,0.90536,0.82264,0.41329,0.55998,1.04225,0.000363075,0.000363075,0.000363075
104,8752.02,0.53853,0.61218,0.96717,0.86121,0.8401,0.90078,0.81633,0.40803,0.57659,1.03705,0.000355742,0.000355742,0.000355742
105,8858.3,0.54328,0.6102,0.9765,0.84452,0.86332,0.91392,0.8336,0.40421,0.53496,1.04095,0.00034841,0.00034841,0.00034841
106,8960.36,0.54081,0.59396,0.97088,0.86277,0.83202,0.90218,0.82226,0.39925,0.56868,1.03637,0.000341077,0.000341077,0.000341077
107,9059.08,0.55012,0.62242,0.97401,0.81914,0.85405,0.90081,0.82136,0.41295,0.55838,1.04113,0.000333744,0.000333744,0.000333744
108,9151.5,0.55257,0.59315,0.97658,0.85511,0.83028,0.89407,0.81894,0.41587,0.58207,1.03491,0.000326412,0.000326412,0.000326412
109,9242.96,0.54861,0.59298,0.97178,0.84998,0.80601,0.88785,0.81142,0.40381,0.57696,1.04396,0.000319079,0.000319079,0.000319079
110,9334.97,0.54492,0.58329,0.97375,0.85766,0.78842,0.88073,0.79779,0.41631,0.64752,1.04692,0.000311747,0.000311747,0.000311747
111,9430.14,0.53923,0.5906,0.9684,0.85071,0.83695,0.90274,0.82548,0.40084,0.54889,1.04144,0.000304414,0.000304414,0.000304414
112,9521.69,0.55362,0.58393,0.972,0.81891,0.87392,0.90652,0.82696,0.3854,0.55544,1.03198,0.000297081,0.000297081,0.000297081
113,9615.4,0.52675,0.59341,0.9657,0.85667,0.85909,0.90681,0.83,0.39579,0.54847,1.03061,0.000289749,0.000289749,0.000289749
114,9710.38,0.53903,0.59149,0.97531,0.89066,0.83682,0.91204,0.8379,0.38242,0.51799,1.03112,0.000282416,0.000282416,0.000282416
115,9808.76,0.51964,0.56541,0.96174,0.85438,0.85159,0.89986,0.81383,0.41132,0.52349,1.04243,0.000275084,0.000275084,0.000275084
116,9906.33,0.52316,0.57204,0.96269,0.88075,0.85073,0.91347,0.83543,0.39827,0.5217,1.03127,0.000267751,0.000267751,0.000267751
117,9998.42,0.51033,0.55633,0.96052,0.88357,0.84015,0.9236,0.84785,0.39881,0.52453,1.03739,0.000260418,0.000260418,0.000260418
118,10090.7,0.52329,0.54926,0.96121,0.8703,0.83437,0.91366,0.83694,0.38467,0.53191,1.03902,0.000253086,0.000253086,0.000253086
119,10183.2,0.53653,0.55304,0.96974,0.83564,0.83573,0.90292,0.82339,0.3888,0.57149,1.03801,0.000245753,0.000245753,0.000245753
120,10277.2,0.52145,0.57369,0.96959,0.88557,0.8281,0.91765,0.83911,0.40078,0.54717,1.04141,0.000238421,0.000238421,0.000238421
121,10373,0.5269,0.5463,0.96702,0.85495,0.80804,0.9049,0.8242,0.40622,0.5898,1.04595,0.000231088,0.000231088,0.000231088
122,10467.6,0.50731,0.55177,0.95721,0.8596,0.86348,0.91772,0.84021,0.39386,0.53865,1.03522,0.000223755,0.000223755,0.000223755
123,10566.8,0.51278,0.56029,0.96165,0.83669,0.86714,0.91174,0.84115,0.38567,0.52282,1.03447,0.000216423,0.000216423,0.000216423
124,10659.1,0.51136,0.56386,0.96153,0.88522,0.83985,0.91525,0.8435,0.39058,0.52913,1.03571,0.00020909,0.00020909,0.00020909
125,10756.3,0.51838,0.53598,0.96206,0.88159,0.85317,0.926,0.85117,0.39225,0.48795,1.03996,0.000201758,0.000201758,0.000201758
126,10853.2,0.50526,0.52286,0.95944,0.87573,0.84297,0.91448,0.84193,0.39229,0.5498,1.03467,0.000194425,0.000194425,0.000194425
127,10959.6,0.51451,0.53938,0.96393,0.84214,0.84289,0.9048,0.82589,0.40087,0.54024,1.04438,0.000187092,0.000187092,0.000187092
128,11058.1,0.52014,0.54713,0.96679,0.86348,0.83916,0.90934,0.83089,0.40324,0.53545,1.0436,0.00017976,0.00017976,0.00017976
129,11159.3,0.51713,0.55287,0.96088,0.8932,0.85397,0.91666,0.84535,0.40744,0.52711,1.0464,0.000172427,0.000172427,0.000172427
130,11258.9,0.50498,0.53544,0.95881,0.86363,0.86299,0.91699,0.83674,0.40186,0.5261,1.04414,0.000165095,0.000165095,0.000165095
131,11361.2,0.5114,0.52769,0.9615,0.88647,0.84691,0.91961,0.84439,0.39018,0.52338,1.03957,0.000157762,0.000157762,0.000157762
132,11457.1,0.49687,0.51912,0.96001,0.89239,0.85141,0.91498,0.83963,0.39015,0.50603,1.03738,0.000150429,0.000150429,0.000150429
133,11551.2,0.49649,0.50745,0.95902,0.86587,0.83462,0.90441,0.83436,0.38361,0.56883,1.0363,0.000143097,0.000143097,0.000143097
134,11644.8,0.50838,0.51326,0.95651,0.83971,0.86749,0.90943,0.83203,0.39736,0.53259,1.03654,0.000135764,0.000135764,0.000135764
135,11736.3,0.51052,0.51726,0.96144,0.87663,0.85327,0.91647,0.84291,0.3822,0.4988,1.03236,0.000128432,0.000128432,0.000128432
136,11826.6,0.49123,0.5191,0.95283,0.88486,0.84042,0.91668,0.84112,0.38189,0.48882,1.03719,0.000121099,0.000121099,0.000121099
137,11918.7,0.49725,0.50671,0.95995,0.89307,0.83983,0.91677,0.83752,0.39685,0.51004,1.03973,0.000113766,0.000113766,0.000113766
138,12010.9,0.48516,0.50227,0.96306,0.87661,0.81838,0.91042,0.83502,0.38146,0.51899,1.03796,0.000106434,0.000106434,0.000106434
139,12099.6,0.50274,0.49638,0.95793,0.87751,0.84394,0.91368,0.83603,0.38765,0.50769,1.04155,9.91012e-05,9.91012e-05,9.91012e-05
140,12190.5,0.49629,0.49371,0.9576,0.88404,0.86432,0.91572,0.83954,0.38094,0.49856,1.04047,9.17686e-05,9.17686e-05,9.17686e-05
141,12283.3,0.3687,0.37004,0.90805,0.8471,0.86554,0.91103,0.83727,0.37379,0.52277,1.03496,8.4436e-05,8.4436e-05,8.4436e-05
142,12371.2,0.36569,0.33259,0.91561,0.87431,0.85092,0.91237,0.84202,0.36125,0.5294,1.03164,7.71034e-05,7.71034e-05,7.71034e-05
143,12453.1,0.36074,0.32837,0.91254,0.87151,0.8682,0.91619,0.84158,0.36475,0.50899,1.03573,6.97708e-05,6.97708e-05,6.97708e-05
144,12535,0.36235,0.3254,0.91053,0.88053,0.84694,0.91575,0.83947,0.36617,0.51674,1.03311,6.24382e-05,6.24382e-05,6.24382e-05
145,12616.7,0.3452,0.32731,0.9107,0.89941,0.84815,0.92156,0.84837,0.36809,0.48821,1.03482,5.51056e-05,5.51056e-05,5.51056e-05
146,12699,0.34363,0.30728,0.91514,0.88673,0.86138,0.92074,0.84921,0.35997,0.48489,1.03102,4.7773e-05,4.7773e-05,4.7773e-05
147,12781.2,0.34367,0.30917,0.90646,0.88844,0.854,0.92172,0.84898,0.36305,0.48553,1.03192,4.04404e-05,4.04404e-05,4.04404e-05
148,12863.3,0.33999,0.30432,0.90233,0.87619,0.84859,0.91976,0.84803,0.36766,0.4915,1.03433,3.31078e-05,3.31078e-05,3.31078e-05
149,12945.2,0.33917,0.30316,0.91039,0.90252,0.83804,0.92435,0.85164,0.35719,0.47942,1.02991,2.57752e-05,2.57752e-05,2.57752e-05
150,13027.4,0.32596,0.29294,0.9062,0.90665,0.83673,0.92141,0.84934,0.3562,0.48514,1.02866,1.84426e-05,1.84426e-05,1.84426e-05
